System No,Gender,rating1,fd1,rating2,fd2,rating3,fd3,rating4,fd4
31,F,1,Teaching is poor,2,Teaching is poor,3,Teaching is average,4,Teaching is good
32,M,5,Teaching is excellent,1,Lack of communication skills,4,Teaching is good,5,Teaching is excellent
61,F,3,Teaching is good,4,Communication is good,4,Average,5,Excellent
62,M,3,Average,4,Good,3,Better,4,Good
33,F,1,Teaching is not good,3,Teaching is better,4,Teaching is best,2,Lack of communication skills
34,M,1,Not good in teaching,2,Poor communication skills,5,Teaching is excellent,3,Teaching is good
63,M,2,Need improvement,4,Concept is conveyed in a good manner,5,Good teaching skill,4,Teaching is good
35,M,3,Teaching is good,1,Teaching is poor,5,Teaching is excellent,4,Teaching is very good
64,F,2,Communication is not good,3,Good knowledge,5,Excellent conceptual teaching,2,Interaction is not there
36,F,2,Lack in communication skills,5,Teaching is excellent,3,Teaching is good,1,Teaching is poor
65,F,3,Teaching is good,4,Communication is good,5,Can understand the concepts very well,3,Interaction is not there with students
37,M,5,Excellent teaching,1,Poor teaching,3,Good teaching,2,Lack in communication skills
66,M,3,Teaching is good,4,Good teaching there is no issues,4,Teaching is Good,5,Explanation Is very good
38,M,1,Teaching is poor,5,Teaching is excellent,3,Teaching is average,5,Teaching is excellent
38,M,1,Teaching is poor,5,Teaching is excellent,3,Teaching is average,5,Teaching is excellent
1,M,4,He is teaching extraordinary,4,He is very punctual to the class room,3,Your expertise in teaching has put our minds at ease ,2,We are disappointed with your teaching process 
67,M,2,Can explain much better,2,Teaching is poor,4,Interaction is there with students,3,Explanation is too fast
39,F,5,Extraordinary teaching,1,Poor in communication skills,1,Can't able to understand the classes,2,Teaching is slow
68,F,4,Teaching is good,2,Interaction is not there,4,Communication is good,3,Lessons going somewhat slow
40,M,1,Not completing the syallabus,3,Teaching is good,5,Teaching is excellent,4,Teaching is very good
69,M,3,Teaching is average,4,Practical explanation is good,3,Theory explanation is too fast,5,Communication is excellent
70,M,4,Teaching is good,4,Explanation is good,3,Lack of interaction,5,Theory explanation is excellent
41,M,1,Teaching is slow,4,Teaching is very good,2,Lack in communication skills,5,Teaching is excellent
71,F,4,Teaching is good,4,Explanation is good,3,Communication missing,2,Lack of interaction
42,F,3,Teaching is good,5,Teaching is excellent,4,Traching is very good,1,Teaching is poor
72,F,3,Teaching is average,2,Communication is not there,3,Lack of communication,4,Good explanation
43,M,5,Teaching is excellent,1,Teaching is very poor,4,Teaching is good,2,Teaching is average
44,F,4,Communication skills are good,5,Teaching is excellent,1,Teaching is slow,4,Teaching is very good
73,M,3,Good teaching,4,Good explanation,5,Excellent practical explanation,4,Good speaking dkills
45,F,5,Extraordinary in teaching,3,Good in teaching,1,Poor in teaching,2,Average in teaching
45,F,5,Extraordinary in teaching,3,Good in teaching,1,Poor in teaching,2,Average in teaching
74,F,4,Good teaching,2,Lack of communication,4,Good interaction,5,Excellent Teaching
46,F,2,Teaching is slow,1,Poor in communication skills,5,Excellent in teaching,1,Can't able to understand the classes
47,M,1,Can't able to understand the classes,5,Excellent in teaching,3,Good in teaching,2,Average in teaching
75,M,3,Teaching is average,4,Communication is good,3,Teaching is average,5,Teaching is excellent
75,M,3,Teaching is average,4,Communication is good,3,Teaching is average,5,Teaching is excellent
47,M,1,Can't able to understand the classes,5,Excellent in teaching,3,Good in teaching,2,Average in teaching
48,F,3,Teaching is good,4,Teaching is very good,5,Teaching is extraordinary,1,Teaching is slow
76,M,5,Teaching is excellent,4,Good practical explanation,3,Teaching is average,2,Lack of communication
49,M,1,Teaching is slow,5,Teaching is excellent,3,Teaching is good,1,Teaching is slow
